Only 4 Best K Best Features,KNeighborsRegressor,0.2,None,0,4,0.9688280239532618,0.9965305542510378,0.18547569941775838,0.4306688976670574,0.2985145560407569,0.008572695023300386
Only 4 Best K Best Features,KNeighborsRegressor,0.2,PCA,1,4,0.8259480133195363,0.8602629669601856,6.57946271124454,2.565046337056027,1.97716557496361,0.05767816577137064
Only 4 Best K Best Features,KNeighborsRegressor,0.2,PCA,2,4,0.9888646385529694,0.998293966812519,0.0914549259461425,0.30241515495448057,0.21079294032023274,0.005934365695241735
Only 4 Best K Best Features,KNeighborsRegressor,0.2,PCA,3,4,0.983783918272602,0.9980465651793805,0.10506151874090251,0.3241319464984939,0.22592831149927237,0.006444913344119049
Only 4 Best K Best Features,KNeighborsRegressor,0.2,PCA,4,4,0.9837853543379537,0.9980738471762859,0.10359368231441043,0.32185972459195705,0.2240109170305678,0.0064023630177513806
Only 4 Best K Best Features,KNeighborsRegressor,0.2,PCA,5,4,0.983607209832756,0.9980976497569412,0.10231268085880627,0.3198635347438127,0.22150800582241625,0.006323758360244647
Only 4 Best K Best Features,KNeighborsRegressor,0.2,PCA,6,4,0.9836302619920537,0.9980729857592828,0.10364718813682663,0.32194283364725895,0.22309970887918476,0.006365436698940258
Only 4 Best K Best Features,KNeighborsRegressor,0.2,PCA,7,4,0.9836352596478993,0.9980765113963369,0.10346776219068403,0.32166405175381974,0.22243850072780194,0.006347771408768551
Only 4 Best K Best Features,KNeighborsRegressor,0.2,SparsePCA,1,4,0.826040767414679,0.859786148351791,6.603801402838427,2.5697862562552607,1.9823653566229986,0.057841487656527725
Only 4 Best K Best Features,KNeighborsRegressor,0.2,SparsePCA,2,4,0.9902966240880913,0.9985839695991714,0.07604693504366807,0.27576608755187443,0.19545596797671014,0.005503691786410276
Only 4 Best K Best Features,KNeighborsRegressor,0.2,SparsePCA,3,4,0.9819327555830459,0.997765270447995,0.12013593176855882,0.3466063065908623,0.24069250363901026,0.006872806315091431
Only 4 Best K Best Features,KNeighborsRegressor,0.2,SparsePCA,4,4,0.9858565727849464,0.9983503369860242,0.08872262390829695,0.29786343163989926,0.2076022561863174,0.005949572278271831
Only 4 Best K Best Features,KNeighborsRegressor,0.2,SparsePCA,5,4,0.9835721561456618,0.9981294227637975,0.10062565665938868,0.31721547354974455,0.22045960698689976,0.006298006537803253
Only 4 Best K Best Features,KNeighborsRegressor,0.2,SparsePCA,6,4,0.9835274162018443,0.998101963622717,0.10213570778748174,0.3195867766154941,0.21964701601164494,0.006289770829478864
Only 4 Best K Best Features,KNeighborsRegressor,0.2,SparsePCA,7,4,0.9836352596478993,0.9980765113963369,0.10346776219068403,0.32166405175381974,0.22243850072780194,0.006347771408768551
Only 4 Best K Best Features,KNeighborsRegressor,0.2,MiniBatchSparsePCA,1,4,0.8262043548596417,0.8579535413079495,6.646996944323145,2.578177058373444,1.9910494905385736,0.05797545197596488
Only 4 Best K Best Features,KNeighborsRegressor,0.2,MiniBatchSparsePCA,2,4,0.9905153088598609,0.9984719368653242,0.08201603566229987,0.28638441937769565,0.2041906841339157,0.00573420736169585
Only 4 Best K Best Features,KNeighborsRegressor,0.2,MiniBatchSparsePCA,3,4,0.9878268385826919,0.9984740228344033,0.08214715156477446,0.28661324387539117,0.20012772925764188,0.005746197540211104
Only 4 Best K Best Features,KNeighborsRegressor,0.2,MiniBatchSparsePCA,4,4,0.9810948176131635,0.9978373405866522,0.11615537627365348,0.3408157512111984,0.23586899563318764,0.00669267745098917
Only 4 Best K Best Features,KNeighborsRegressor,0.2,MiniBatchSparsePCA,5,4,0.9833214702854416,0.9981826480149101,0.097708808951965,0.31258408301121954,0.2151739446870452,0.00619481477719588
Only 4 Best K Best Features,KNeighborsRegressor,0.2,MiniBatchSparsePCA,6,4,0.9816535072310558,0.997724993916989,0.12221269868995625,0.34958932862711395,0.24206040756914116,0.006876599943731733
Only 4 Best K Best Features,KNeighborsRegressor,0.2,MiniBatchSparsePCA,7,4,0.9794382877451991,0.9974302484795616,0.13771812863901012,0.3711039323949695,0.25928857350800594,0.007330346964622938
Only 4 Best K Best Features,KNeighborsRegressor,0.2,FactorAnalysis,1,4,0.9346870628298043,0.9540395632058146,2.336055186317322,1.528415907505978,1.0665211062590976,0.028624701644650884
Only 4 Best K Best Features,KNeighborsRegressor,0.2,FactorAnalysis,2,4,0.9905182767562433,0.9993026431149716,0.037465661208151285,0.19356048462470662,0.1435065502183404,0.00430786133789004
Only 4 Best K Best Features,KNeighborsRegressor,0.2,FactorAnalysis,3,4,0.9686076813942074,0.9958491129298398,0.22035339647016,0.4694181467201284,0.3310032751091703,0.009754151230681187
Only 4 Best K Best Features,KNeighborsRegressor,0.2,FactorAnalysis,4,4,0.9567924397076775,0.9859674192460515,0.7308611617540028,0.8549041827912663,0.5799785298398835,0.017241886798456278
Only 4 Best K Best Features,KNeighborsRegressor,0.2,FactorAnalysis,5,4,0.9546867887806685,0.9893623834918508,0.5571302678311498,0.7464115941162421,0.5290014556040756,0.015447274627120226
Only 4 Best K Best Features,KNeighborsRegressor,0.2,FactorAnalysis,6,4,0.955762009290789,0.9910534550526161,0.46918844122998515,0.68497331424661,0.4925491266375545,0.014378379553329183
Only 4 Best K Best Features,KNeighborsRegressor,0.2,FactorAnalysis,7,4,0.9912095097464181,0.9988974611402374,0.059236685043668046,0.24338587683690285,0.17317649199417745,0.004961422982195089
