Best Avg. Cross Val Score,Only 4 Best K Best Features,Linear,0.2,None,0,4,1.0,1.0,1.2419679113348564e-29,3.524156510904214e-15,1.794456545187444e-15,4.699375710179705e-17
Best R^2,Only 4 Best K Best Features,Linear,0.2,None,0,4,1.0,1.0,1.2419679113348564e-29,3.524156510904214e-15,1.794456545187444e-15,4.699375710179705e-17
Best MSE,Only 4 Best K Best Features,Linear,0.2,None,0,4,1.0,1.0,1.2419679113348564e-29,3.524156510904214e-15,1.794456545187444e-15,4.699375710179705e-17
Best RMSE,Only 4 Best K Best Features,Linear,0.2,None,0,4,1.0,1.0,1.2419679113348564e-29,3.524156510904214e-15,1.794456545187444e-15,4.699375710179705e-17
Best MAE,Only 4 Best K Best Features,Linear,0.2,None,0,4,1.0,1.0,1.2419679113348564e-29,3.524156510904214e-15,1.794456545187444e-15,4.699375710179705e-17
Best MAPE,Only 4 Best K Best Features,Linear,0.2,None,0,4,1.0,1.0,1.2419679113348564e-29,3.524156510904214e-15,1.794456545187444e-15,4.699375710179705e-17
